le,operation,min,max,avg,sum,last,integral
0.215,CancelQuotaRequest,0,0,0,0,0,0
0.147,UpdateQuotaRequest,0,0,0,0,0,0
0.147,CreateQuotaRequest,0,0,0,0,0,0
0.147,CloseQuotaRequestWithIssue,0,0,0,0,0,0
0.147,CancelQuotaRequest,0,0,0,0,0,0
0.1,UpdateQuotaRequest,0,0,0,0,0,0
0.1,DeleteQuotaRequest,0,0,0,0,0,0
0.1,CreateQuotaRequest,0,0,0,0,0,0
0.1,CloseQuotaRequestWithIssue,0,0,0,0,0,0
0.1,CancelQuotaRequest,0,0,0,0,0,0
0.147,DeleteQuotaRequest,0,0.014705882352941124,0.0003838884951570976,0.19117647058823461,0.014705882352941124,1026.0441176470551
4.642,CancelQuotaRequest,0,0.030952380952381068,0.01588100028743895,7.892857142857158,0.030952380952381068,42360.96428571462
4641.589,CreateQuotaRequest,0,0.1582326680672268,0.08256742832675269,41.11857930672284,0.1582326680672268,220683.41513918104
1.468,UpdateQuotaRequest,0,0.23035714285714293,0.16223823866896178,80.79464285714296,0.23035714285714293,433624.8482142834
3.162,UpdateQuotaRequest,0,1,0.4574018295403837,227.7861111111111,1,1222528.0583333333
68.129,UpdateQuotaRequest,0,1,0.946285140562249,471.25,1,2529198.75
215.443,UpdateQuotaRequest,0,1,0.9464636323070058,471.3388888888889,1,2529675.8166666664
316.228,UpdateQuotaRequest,0,1,0.9443834160170093,470.3029411764706,1,2524115.8852941175
6.813,CancelQuotaRequest,0,1.05,0.5358651911468838,266.32500000000124,1.05,1429366.2750000032
0.681,UpdateQuotaRequest,0,1.083333333333333,0.9565994135271175,476.38650793650453,1.083333333333333,2556766.388095225
10.0,CancelQuotaRequest,0,1.458712121212121,0.7144800621913275,355.0965909090898,1.458712121212121,1905803.4034090983
46.416,UpdateQuotaRequest,0,2,0.6905957161981258,343.91666666666663,2,1845800.75
1000.0,CreateQuotaRequest,0,2,0.6845771976796073,340.9194444444445,2,1829714.6583333332
1467.799,CreateQuotaRequest,0,2,0.6809069611780456,339.0916666666667,2,1819904.975
1.0,UpdateQuotaRequest,0,2.4580882352941176,2.2396138475470413,1115.3276960784265,2.4580882352941176,5985963.74485299
0.215,CloseQuotaRequestWithIssue,0,3,1.755354752342704,874.1666666666666,3,4691652.5
2.154,CloseQuotaRequestWithIssue,0,3,1.190004462293619,592.6222222222223,3,3180603.4666666673
681.292,CreateQuotaRequest,0,3,2.3617548625876057,1176.1539215686275,3,6312418.097058823
2154.435,CreateQuotaRequest,0,3,1.6269801427933956,810.2361111111111,3,4348537.208333334
316.228,CreateQuotaRequest,0,3.6666666666666665,3.4680644145208492,1727.096078431383,3.6666666666666665,9269324.652941177
68.129,CreateQuotaRequest,0,4,3.7823476914192717,1883.6091503267974,4,10109330.309803922
100.0,CreateQuotaRequest,0,9,8.048720043572985,4008.2625816993464,9,21512345.27598039
31.623,UpdateQuotaRequest,0,10,6.327742013806861,3151.215522875817,10,16912573.711274512
10.0,CreateQuotaRequest,0,11,7.210776767199517,3590.9668300653598,11,19272718.976960782
4.642,DeleteQuotaRequest,0,17,1.1457552431950022,570.5861111111111,17,3062335.658333333
215.443,CreateQuotaRequest,0,20.541176470588233,18.506253117043443,9216.114052287634,20.541176470588233,49462884.11862759
0.316,CloseQuotaRequestWithIssue,0,23,14.106205541118722,7024.890359477124,23,37702586.55931373
1.0,CloseQuotaRequestWithIssue,0,23.070687134502922,10.423946163049214,5191.125189198508,23.070687134502922,27860768.890428223
464.159,CreateQuotaRequest,0,27.243333333333332,13.049503537023828,6498.6527614378665,27.243333333333332,34878269.370637104
46.416,CreateQuotaRequest,0,27.820089285714285,9.939707997489485,4949.974582749764,27.820089285714285,26566513.585618064
21.544,UpdateQuotaRequest,0,28.416666666666664,15.762416988214365,7849.683660130754,28.416666666666664,42129252.203921564
2.154,DeleteQuotaRequest,0,38,19.310871262829096,9616.81388888889,38,51613440.141666666
1.468,CloseQuotaRequestWithIssue,0,47.074900793650784,17.8404430108208,8884.540619388757,47.074900793650784,47683329.50425942
3.162,DeleteQuotaRequest,0,48,27.199704373047748,13545.452777777778,48,72698445.05833334
4.642,UpdateQuotaRequest,0,69.25992063492063,21.821808710097095,10867.260737628354,69.25992063492063,58324588.378851555
0.215,DeleteQuotaRequest,0,70.68256302521007,39.04128643425221,19442.5606442576,70.68256302521007,104348222.97773086
1.468,DeleteQuotaRequest,0,80.6569311570782,41.617144024997735,20725.337724448873,80.6569311570782,111232887.56711677
0.464,CloseQuotaRequestWithIssue,0,104.43695863164615,53.577369600071776,26681.530060835743,104.43695863164615,143199771.83650592
31.623,CreateQuotaRequest,0,108.89774300745934,48.41694516906069,24111.638694192225,108.89774300745934,129407164.87173022
0.681,CloseQuotaRequestWithIssue,0,114.99328470828279,56.573532998048755,28173.61943302828,114.99328470828279,151207815.49706253
0.316,DeleteQuotaRequest,0,140.21204751131222,81.40884616898956,40541.6053921568,140.21204751131222,217586796.13970754
0.464,DeleteQuotaRequest,0,141.41991414317206,85.19052683254924,42424.88236260952,141.41991414317206,227694343.64012796
1.0,DeleteQuotaRequest,0,166.4159905014543,97.13700076655512,48374.22638174445,166.4159905014543,259624472.99082023
0.681,DeleteQuotaRequest,0,239.62585141268048,139.3348519794042,69388.7562857433,239.62585141268048,372409454.9855856
14.678,UpdateQuotaRequest,0,248.66885419720188,117.66250307341386,58595.9265305601,248.66885419720188,314484337.689515
6.813,UpdateQuotaRequest,0,375.3533321273241,185.16498126173968,92212.16066834636,375.3533321273241,494902666.30701804
10.0,UpdateQuotaRequest,0,1285.0228596082325,658.7605917518592,328062.7746924259,1285.0228596082325,1760712911.7742496
21.544,CreateQuotaRequest,0,2253.518413110588,1088.8062483875756,542225.5116970126,2253.518413110588,2910124321.27787
14.678,CreateQuotaRequest,0,3437.2532554179425,1781.9317001514466,887401.9866754204,3437.2532554179425,4762686462.486984
