le,operation,statusCode,min,max,avg,sum,last,integral
0.316,CreateOAuthClient,OK,0,0,0,0,0,0
0.316,CreateOAuthClientSecret,OK,0,0,0,0,0,0
0.316,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
0.316,CreateServiceAccount,OK,0,0,0,0,0,0
0.316,CreateSubjectContainer,OK,0,0,0,0,0,0
0.316,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
0.316,CreateSystemFolder,OK,0,0,0,0,0,0
0.464,ChangeTopLevelResource,FAILED_PRECONDITION,0,3,1.9723845598845597,639.0525974025974,3,2209204.8292207792
0.464,ChangeTopLevelResource,OK,0,1,0.9637251035298757,444.2772727272727,1,1535866.5318181817
0.464,ConvertAllToBasicGroups,OK,3.7454545454545456,1194.2432432432433,589.8840277680717,294352.1298562678,1194.2432432432433,1017562364.8767545
0.464,ConvertToBasicGroup,OK,0,0,0,0,0,0
0.464,ConvertToExternalGroup,OK,0,0,0,0,0,0
0.464,CreateAccessKey,OK,0,0,0,0,0,0
0.464,CreateApiKey,OK,0,0,0,0,0,0
0.464,CreateExternalGroup,OK,0,0,0,0,0,0
0.464,CreateFederatedCredential,OK,0,0,0,0,0,0
0.464,CreateFederation,OK,0,0,0,0,0,0
0.464,CreateGroup,OK,0,0,0,0,0,0
0.464,CreateKey,OK,0,0,0,0,0,0
0.464,CreateMicroservice,OK,0,0,0,0,0,0
0.464,CreateOAuthClient,OK,0,0,0,0,0,0
0.464,CreateOAuthClientSecret,OK,0,0,0,0,0,0
0.464,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
0.464,CreateServiceAccount,OK,0,0,0,0,0,0
0.464,CreateSubjectContainer,OK,0,0,0,0,0,0
0.464,CreateSystemFolder,FAILED_PRECONDITION,0,1,0.9999718563548351,281.9920634920635,1,974846.5634920634
0.464,CreateSystemFolder,OK,0,0,0,0,0,0
0.681,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
0.681,ChangeTopLevelResource,OK,0,1,0.9999429158579746,460.9736842105263,1,1593586.0263157894
0.681,ConvertAllToBasicGroups,OK,0,265,128.21062182712876,63977.100291737246,265,221168835.70853567
0.681,ConvertToBasicGroup,OK,0,0,0,0,0,0
0.681,ConvertToExternalGroup,OK,0,0,0,0,0,0
0.681,CreateAccessKey,OK,0,0,0,0,0,0
0.681,CreateApiKey,OK,0,0,0,0,0,0
0.681,CreateExternalGroup,OK,0,0,0,0,0,0
0.681,CreateFederatedCredential,OK,0,0,0,0,0,0
0.681,CreateFederation,OK,0,0,0,0,0,0
0.681,CreateGroup,OK,0,0,0,0,0,0
0.681,CreateKey,OK,0,0,0,0,0,0
0.681,CreateMicroservice,OK,0,0,0,0,0,0
0.681,CreateOAuthClient,OK,0,0,0,0,0,0
0.681,CreateOAuthClientSecret,OK,0,0,0,0,0,0
0.681,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
0.681,CreateServiceAccount,OK,0,0,0,0,0,0
0.681,CreateSubjectContainer,OK,0,0,0,0,0,0
0.681,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
0.681,CreateSystemFolder,OK,0,0,0,0,0,0
1.0,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
1.0,ChangeTopLevelResource,OK,0,1,0.9999429158579746,460.9736842105263,1,1593586.0263157894
1.0,ConvertAllToBasicGroups,OK,0.75,66,30.443447821673832,15191.280463015242,66,52513663.81064372
1.0,ConvertToBasicGroup,OK,0,0,0,0,0,0
1.0,ConvertToExternalGroup,OK,0,0,0,0,0,0
1.0,CreateAccessKey,OK,0,0,0,0,0,0
1.0,CreateApiKey,OK,0,0,0,0,0,0
1.0,CreateExternalGroup,OK,0,0,0,0,0,0
1.0,CreateFederatedCredential,OK,0,0,0,0,0,0
1.0,CreateFederation,OK,0,0,0,0,0,0
1.0,CreateGroup,OK,0,0,0,0,0,0
1.0,CreateKey,OK,0,0,0,0,0,0
1.0,CreateMicroservice,OK,0,0,0,0,0,0
1.0,CreateOAuthClient,OK,0,0,0,0,0,0
1.0,CreateOAuthClientSecret,OK,0,0,0,0,0,0
1.0,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
1.0,CreateServiceAccount,OK,0,0,0,0,0,0
1.0,CreateSubjectContainer,OK,0,0,0,0,0,0
1.0,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
1.0,CreateSystemFolder,OK,0,0,0,0,0,0
1.468,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
1.468,ChangeTopLevelResource,OK,0,1,0.9637251035298757,444.2772727272727,1,1535866.5318181817
1.468,ConvertAllToBasicGroups,OK,0,32,15.428623612744023,7698.883182759268,32,26615039.1627988
