le,operation,statusCode,min,max,avg,sum,last,integral
0.147,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,DeleteMembership,OK,0,0,0,0,0,0
0.147,DeleteOrganization,FAILED_PRECONDITION,0,2,0.8471972858755282,421.90424836601306,2,2264360.100980392
0.147,DeleteOrganization,OK,0,0,0,0,0,0
0.147,DeleteUserSshKey,OK,0,0,0,0,0,0
0.147,EnableServices,OK,0,0,0,0,0,0
0.147,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,InviteUsers,OK,0,0,0,0,0,0
0.147,RejectInvitation,OK,0,0,0,0,0,0
0.147,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.147,ResendInvitation,OK,0,2,1.0789045069165553,537.2944444444445,2,2883659.283333333
0.147,ScheduleSync,OK,0,0,0,0,0,0
0.147,SendSync,OK,0,0,0,0,0,0
0.147,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.147,UNKNOWN,OK,0,0,0,0,0,0
0.147,UpdateAudience,OK,0,0,0,0,0,0
0.147,UpdateCertificate,OK,0,0,0,0,0,0
0.147,UpdateFederation,OK,0,0,0,0,0,0
0.147,UpdateGroupMapping,OK,0,0,0,0,0,0
0.147,UpdateGroupMappingItems,OK,0,0,0,0,0,0
0.147,UpdateMfaEnforcement,OK,0,0,0,0,0,0
0.147,UpdateOrganization,OK,0,0,0,0,0,0
0.147,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.147,UpdateOrganizationPermissionStagesOperation,OK,0,0,0,0,0,0
0.147,UpdateReferences,OK,0,0,0,0,0,0
0.147,UpdateSubscribers,OK,0,0,0,0,0,0
0.147,ValidateDomain,OK,0,0,0,0,0,0
0.215,AcceptInvitation,OK,0,0,0,0,0,0
0.215,AddDomain,OK,0,0,0,0,0,0
0.215,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.215,AddFederatedUserAccounts,OK,0,0,0,0,0,0
0.215,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.215,AddMembership,OK,0,0,0,0,0,0
0.215,AddMembership,RESOURCE_EXHAUSTED,0,2,0.6568056539885031,327.08921568627454,2,1755487.8205882353
0.215,AddOrganizationOwner,OK,0,0,0,0,0,0
0.215,AddRestriction,OK,0,0,0,0,0,0
0.215,BulkDeleteMembership,OK,0,0,0,0,0,0
0.215,CreateCertificate,OK,0,0,0,0,0,0
0.215,CreateFederation,OK,0,0,0,0,0,0
0.215,CreateGroupMapping,OK,0,0,0,0,0,0
0.215,CreateInvitations,OK,0,0,0,0,0,0
0.215,CreateMfaEnforcement,OK,0,0,0,0,0,0
0.215,CreateOrganization,INTERNAL,0,0,0,0,0,0
0.215,CreateOrganization,OK,0,0,0,0,0,0
0.215,CreateUserSshKey,OK,0,0,0,0,0,0
0.215,DeleteCertificate,OK,0,0,0,0,0,0
0.215,DeleteDomain,OK,0,0,0,0,0,0
0.215,DeleteFederatedUserAccounts,OK,0,0,0,0,0,0
0.215,DeleteFederation,OK,0,0,0,0,0,0
0.215,DeleteGroupMapping,OK,0,0,0,0,0,0
0.215,DeleteInvitation,OK,0,0,0,0,0,0
0.215,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.215,DeleteMembership,OK,0,0,0,0,0,0
0.215,DeleteOrganization,FAILED_PRECONDITION,0,18.243542435424352,10.03653800953335,4998.195928747608,18.243542435424352,26825317.54958826
0.215,DeleteOrganization,OK,0,0,0,0,0,0
0.215,DeleteUserSshKey,OK,0,0,0,0,0,0
0.215,EnableServices,OK,0,0,0,0,0,0
0.215,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.215,InviteUsers,OK,0,0,0,0,0,0
0.215,RejectInvitation,OK,0,0,0,0,0,0
0.215,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.215,ResendInvitation,OK,0,10,6.338557497965719,3156.601633986928,10,16941480.969607845
0.215,ScheduleSync,OK,0,0,0,0,0,0
0.215,SendSync,OK,0,0,0,0,0,0
0.215,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.215,UNKNOWN,OK,0,0,0,0,0,0
0.215,UpdateAudience,OK,0,0,0,0,0,0
0.215,UpdateCertificate,OK,0,0,0,0,0,0
0.215,UpdateFederation,OK,0,0,0,0,0,0
0.215,UpdateGroupMapping,OK,0,0,0,0,0,0
0.215,UpdateGroupMappingItems,OK,0,0,0,0,0,0
0.215,UpdateMfaEnforcement,OK,0,0,0,0,0,0
0.215,UpdateOrganization,OK,0,0,0,0,0,0
0.215,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.215,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.215,UpdateOrganizationPermissionStagesOperation,OK,0,0,0,0,0,0
0.215,UpdateReferences,OK,0,0,0,0,0,0
0.215,UpdateSubscribers,OK,0,29.177141527001865,9.653801827657121,4807.593310173246,29.177141527001865,25802353.295699693
0.215,ValidateDomain,OK,0,39.99162011173185,7.600904637542485,3785.2505094961575,39.99162011173185,20315439.484465912
0.316,AcceptInvitation,OK,0,0,0,0,0,0
0.316,AddDomain,OK,0,0,0,0,0,0
0.316,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.316,AddFederatedUserAccounts,OK,0,0,0,0,0,0
0.316,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,4.156491228070176,2.649736606775147,1316.919093567248,4.156491228070176,7067904.7751754895
0.316,AddMembership,OK,0,252.38888888888886,92.39602064992704,46013.218283663664,252.38888888888886,246952942.52842176
0.316,AddMembership,RESOURCE_EXHAUSTED,0,7,4.075101153142896,2029.400374265162,7,10891791.808681127
0.316,AddOrganizationOwner,OK,0,0,0,0,0,0
0.316,AddRestriction,OK,0,3.9999999999999996,1.7709232354253615,881.91977124183,3.9999999999999996,4733263.412254902
0.316,BulkDeleteMembership,OK,0,0,0,0,0,0
0.316,CreateCertificate,OK,0,0,0,0,0,0
0.316,CreateFederation,OK,0,0,0,0,0,0
0.316,CreateGroupMapping,OK,0,0,0,0,0,0
0.316,CreateInvitations,OK,0,0,0,0,0,0
0.316,CreateMfaEnforcement,OK,0,0,0,0,0,0
0.316,CreateOrganization,INTERNAL,0,0,0,0,0,0
0.316,CreateOrganization,OK,0,0,0,0,0,0
0.316,CreateUserSshKey,OK,0,0,0,0,0,0
0.316,DeleteCertificate,OK,0,0,0,0,0,0
0.316,DeleteDomain,OK,0,0,0,0,0,0
0.316,DeleteFederatedUserAccounts,OK,0,0,0,0,0,0
0.316,DeleteFederation,OK,0,0,0,0,0,0
0.316,DeleteGroupMapping,OK,0,0,0,0,0,0
0.316,DeleteInvitation,OK,0,0,0,0,0,0
0.316,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.316,DeleteMembership,OK,0,0,0,0,0,0
0.316,DeleteOrganization,FAILED_PRECONDITION,0,61.89102182539682,30.301414952807992,15090.10464649838,61.89102182539682,80988591.63775675
0.316,DeleteOrganization,OK,0,0,0,0,0,0
0.316,DeleteUserSshKey,OK,0,0,0,0,0,0
0.316,EnableServices,OK,0,0,0,0,0,0
0.316,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.316,InviteUsers,OK,0,0,0,0,0,0
0.316,RejectInvitation,OK,0,0,0,0,0,0
0.316,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.316,ResendInvitation,OK,0,31.56371463714637,19.68531217979051,9803.285465535675,31.56371463714637,52614233.093529865
0.316,ScheduleSync,OK,0,0,0,0,0,0
0.316,SendSync,OK,0,0,0,0,0,0
0.316,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.316,UNKNOWN,OK,0,0,0,0,0,0
0.316,UpdateAudience,OK,0,0,0,0,0,0
0.316,UpdateCertificate,OK,0,0,0,0,0,0
0.316,UpdateFederation,OK,0,0,0,0,0,0
0.316,UpdateGroupMapping,OK,0,0,0,0,0,0
0.316,UpdateGroupMappingItems,OK,0,0,0,0,0,0
0.316,UpdateMfaEnforcement,OK,0,0,0,0,0,0
0.316,UpdateOrganization,OK,0,0,0,0,0,0
0.316,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,1,0.8341477019187863,415.40555555555557,1,2229481.6166666667
0.316,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.316,UpdateOrganizationPermissionStagesOperation,OK,0,0,0,0,0,0
0.316,UpdateReferences,OK,0,0,0,0,0,0
0.316,UpdateSubscribers,OK,0,485.26246120422104,174.75095460637618,87025.97539397534,485.26246120422104,467068409.93946517
0.316,ValidateDomain,OK,0,487.9638888888886,246.58363602080013,122798.65073835847,487.9638888888886,659060358.5127724
0.464,AcceptInvitation,OK,0,0,0,0,0,0
0.464,AddDomain,OK,0,0,0,0,0,0
0.464,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.464,AddFederatedUserAccounts,OK,0,0,0,0,0,0
0.464,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,2.1390476190476186,1.4976259142154436,744.3200793650755,2.1390476190476186,3994765.8659523637
0.464,AddMembership,OK,0,2401.3279032356772,1136.4712965770286,565962.7056953602,2401.3279032356772,3037521841.4670053
0.464,AddMembership,RESOURCE_EXHAUSTED,0,2.0107307946291,1.0519832527949735,523.8876598918968,2.0107307946291,2811705.070639812
0.464,AddOrganizationOwner,OK,0,0,0,0,0,0
0.464,AddRestriction,OK,0,35.38888888888889,18.29337482163422,9110.100661173841,35.38888888888889,48893910.24852015
0.464,BulkDeleteMembership,OK,0,0,0,0,0,0
0.464,CreateCertificate,OK,0,0,0,0,0,0
0.464,CreateFederation,OK,0,0,0,0,0,0
0.464,CreateGroupMapping,OK,0,0,0,0,0,0
0.464,CreateInvitations,OK,0,0,0,0,0,0
0.464,CreateMfaEnforcement,OK,0,0,0,0,0,0
0.464,CreateOrganization,INTERNAL,0,0,0,0,0,0
0.464,CreateOrganization,OK,0,0,0,0,0,0
0.464,CreateUserSshKey,OK,0,0,0,0,0,0
0.464,DeleteCertificate,OK,0,0,0,0,0,0
0.464,DeleteDomain,OK,0,0,0,0,0,0
0.464,DeleteFederatedUserAccounts,OK,0,0,0,0,0,0
0.464,DeleteFederation,OK,0,0,0,0,0,0
0.464,DeleteGroupMapping,OK,0,0,0,0,0,0
0.464,DeleteInvitation,OK,0,0,0,0,0,0
0.464,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.464,DeleteMembership,OK,0,0,0,0,0,0
0.464,DeleteOrganization,FAILED_PRECONDITION,0,24.003125000000004,12.45012138629849,6200.1604503766475,24.003125000000004,33276261.13717146
0.464,DeleteOrganization,OK,0,0,0,0,0,0
0.464,DeleteUserSshKey,OK,0,0,0,0,0,0
0.464,EnableServices,OK,0,0,0,0,0,0
0.464,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.464,InviteUsers,OK,0,0,0,0,0,0
0.464,RejectInvitation,OK,0,0,0,0,0,0
0.464,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.464,ResendInvitation,OK,0,33.789869281045746,16.023010377665862,7979.459168077599,33.789869281045746,42825757.35507265
0.464,ScheduleSync,OK,0,0,0,0,0,0
0.464,SendSync,OK,0,0,0,0,0,0
0.464,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.464,UNKNOWN,OK,0,0,0,0,0,0
0.464,UpdateAudience,OK,0,0,0,0,0,0
0.464,UpdateCertificate,OK,0,0,0,0,0,0
0.464,UpdateFederation,OK,0,0,0,0,0,0
0.464,UpdateGroupMapping,OK,0,0,0,0,0,0
0.464,UpdateGroupMappingItems,OK,0,0,0,0,0,0
0.464,UpdateMfaEnforcement,OK,0,0,0,0,0,0
0.464,UpdateOrganization,OK,0,0,0,0,0,0
0.464,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,5.016666666666667,2.6668061133422523,1328.0694444444416,5.016666666666667,7127748.708333366
0.464,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.464,UpdateOrganizationPermissionStagesOperation,OK,0,0,0,0,0,0
0.464,UpdateReferences,OK,0,0,0,0,0,0
0.464,UpdateSubscribers,OK,0,2200.5697801645397,1231.538442155739,613306.144193558,2200.5697801645397,3291614075.8868303
0.464,ValidateDomain,OK,0,837.5981222842954,497.1701772997737,247590.74829528728,837.5981222842954,1328819546.100816
0.681,AcceptInvitation,OK,0,0,0,0,0,0
0.681,AddDomain,OK,0,0,0,0,0,0
0.681,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.681,AddFederatedUserAccounts,OK,0,29,7.763455561526548,3866.2008696402213,29,20749900.067359067
0.681,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.681,AddMembership,OK,0,16633.77927496701,8113.7474686124415,4040646.2393689957,16633.77927496701,21686148366.693394
0.681,AddMembership,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.681,AddOrganizationOwner,OK,0,0,0,0,0,0
0.681,AddRestriction,OK,0,139.23805555555552,76.34605660685492,38020.33619021375,139.23805555555552,204055144.33287865
0.681,BulkDeleteMembership,OK,0,0,0,0,0,0
0.681,CreateCertificate,OK,0,0,0,0,0,0
0.681,CreateFederation,OK,0,0,0,0,0,0
0.681,CreateGroupMapping,OK,0,0,0,0,0,0
0.681,CreateInvitations,OK,0,0,0,0,0,0
0.681,CreateMfaEnforcement,OK,0,0,0,0,0,0
0.681,CreateOrganization,INTERNAL,0,0,0,0,0,0
0.681,CreateOrganization,OK,0,4,2.1151048639000445,1053.322222222222,4,5653180.366666667
0.681,CreateUserSshKey,OK,0,0,0,0,0,0
0.681,DeleteCertificate,OK,0,0,0,0,0,0
0.681,DeleteDomain,OK,0,0,0,0,0,0
0.681,DeleteFederatedUserAccounts,OK,0,0,0,0,0,0
0.681,DeleteFederation,OK,0,0,0,0,0,0
0.681,DeleteGroupMapping,OK,0,0.020833333333333367,0.00607813547954394,3.0208333333333384,0.020833333333333367,16212.812500000005
0.681,DeleteInvitation,OK,0,0,0,0,0,0
0.681,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.681,DeleteMembership,OK,0,0,0,0,0,0
0.681,DeleteOrganization,FAILED_PRECONDITION,0,2,0.9242758432862425,460.28936995654874,2,2470373.048556797
0.681,DeleteOrganization,OK,0,0,0,0,0,0
0.681,DeleteUserSshKey,OK,0,0,0,0,0,0
0.681,EnableServices,OK,0,0,0,0,0,0
0.681,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.681,InviteUsers,OK,0,0,0,0,0,0
0.681,RejectInvitation,OK,0,0,0,0,0,0
0.681,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.681,ResendInvitation,OK,0,7.004716981132075,2.523728977820367,1256.8170309545428,7.004716981132075,6745337.005133025
0.681,ScheduleSync,OK,0,0,0,0,0,0
0.681,SendSync,OK,0,0,0,0,0,0
0.681,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.681,UNKNOWN,OK,0,0,0,0,0,0
0.681,UpdateAudience,OK,0,0,0,0,0,0
0.681,UpdateCertificate,OK,0,0,0,0,0,0
0.681,UpdateFederation,OK,0,0,0,0,0,0
0.681,UpdateGroupMapping,OK,0,0,0,0,0,0
0.681,UpdateGroupMappingItems,OK,0,5.999999999999999,4.35353078982597,2168.058333333333,5.999999999999999,11635969.075
0.681,UpdateMfaEnforcement,OK,0,0,0,0,0,0
0.681,UpdateOrganization,OK,0,0,0,0,0,0
0.681,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,39.507407407407406,24.651063833217396,12276.229788942263,39.507407407407406,65886525.277253136
0.681,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.681,UpdateOrganizationPermissionStagesOperation,OK,0,0,0,0,0,0
0.681,UpdateReferences,OK,0,0,0,0,0,0
0.681,UpdateSubscribers,OK,0,5626.260716377718,2812.081942859586,1400416.8075440738,5626.260716377718,7516037006.089043
0.681,ValidateDomain,OK,0,2756.667646724546,1420.1949826145476,707257.1013420447,2756.667646724546,3795848862.9027576
1.0,AcceptInvitation,OK,0,0,0,0,0,0
1.0,AddDomain,OK,0,0,0,0,0,0
1.0,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
1.0,AddFederatedUserAccounts,OK,0,1674.9178414684238,823.849456828429,410277.02950055763,1674.9178414684238,2201956817.329502
1.0,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,0,0,0,0,0
