le,operation,min,max,avg,sum,last,integral
4641.589,DeleteOAuthApplication,0,0,0,0,0,0
4641.589,DeleteDomain,0,0,0,0,0,0
4641.589,DeleteApplication,0,0,0,0,0,0
4641.589,CreateUserpool,0,0,0,0,0,0
4641.589,CreateUser,0,0,0,0,0,0
4641.589,CreateSamlApplication,0,0,0,0,0,0
4641.589,CreateOAuthApplication,0,0,0,0,0,0
4641.589,AddDomain,0,0,0,0,0,0
3162.278,ValidateDomain,0,0,0,0,0,0
3162.278,UpdateUserpoolAccessBindings,0,0,0,0,0,0
3162.278,UpdateUserpool,0,0,0,0,0,0
3162.278,UpdateUser,0,0,0,0,0,0
3162.278,UpdateSamlApplicationAssignments,0,0,0,0,0,0
3162.278,UpdateSamlApplication,0,0,0,0,0,0
3162.278,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
3162.278,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
3162.278,UpdateOAuthApplication,0,0,0,0,0,0
3162.278,UpdateAssignments,0,0,0,0,0,0
3162.278,UnlinkOAuthClient,0,0,0,0,0,0
3162.278,SuspendSamlApplication,0,0,0,0,0,0
3162.278,SuspendOAuthApplication,0,0,0,0,0,0
3162.278,SetPasswordHash,0,0,0,0,0,0
3162.278,SetOthersPassword,0,0,0,0,0,0
3162.278,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
3162.278,ReactivateSamlApplication,0,0,0,0,0,0
3162.278,ReactivateOAuthApplication,0,0,0,0,0,0
3162.278,DeleteUserpool,0,0,0,0,0,0
3162.278,DeleteUser,0,0,0,0,0,0
3162.278,DeleteSamlApplication,0,0,0,0,0,0
3162.278,DeleteOrganizationSamlApplications,0,0,0,0,0,0
3162.278,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
3162.278,DeleteOAuthApplication,0,0,0,0,0,0
3162.278,DeleteDomain,0,0,0,0,0,0
3162.278,DeleteApplication,0,0,0,0,0,0
3162.278,CreateUserpool,0,0,0,0,0,0
3162.278,CreateUser,0,0,0,0,0,0
3162.278,CreateSamlApplication,0,0,0,0,0,0
3162.278,CreateOAuthApplication,0,0,0,0,0,0
3162.278,AddDomain,0,0,0,0,0,0
2154.435,ValidateDomain,0,0,0,0,0,0
2154.435,UpdateUserpoolAccessBindings,0,0,0,0,0,0
2154.435,UpdateUserpool,0,0,0,0,0,0
2154.435,UpdateUser,0,0,0,0,0,0
2154.435,UpdateSamlApplicationAssignments,0,0,0,0,0,0
2154.435,UpdateSamlApplication,0,0,0,0,0,0
2154.435,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
2154.435,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
2154.435,UpdateOAuthApplication,0,0,0,0,0,0
2154.435,UpdateAssignments,0,0,0,0,0,0
2154.435,UnlinkOAuthClient,0,0,0,0,0,0
2154.435,SuspendSamlApplication,0,0,0,0,0,0
2154.435,SuspendOAuthApplication,0,0,0,0,0,0
2154.435,SetPasswordHash,0,0,0,0,0,0
2154.435,SetOthersPassword,0,0,0,0,0,0
2154.435,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
2154.435,ReactivateSamlApplication,0,0,0,0,0,0
2154.435,ReactivateOAuthApplication,0,0,0,0,0,0
2154.435,DeleteUserpool,0,0,0,0,0,0
2154.435,DeleteUser,0,0,0,0,0,0
2154.435,DeleteSamlApplication,0,0,0,0,0,0
2154.435,DeleteOrganizationSamlApplications,0,0,0,0,0,0
2154.435,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
2154.435,DeleteOAuthApplication,0,0,0,0,0,0
2154.435,DeleteDomain,0,0,0,0,0,0
2154.435,DeleteApplication,0,0,0,0,0,0
2154.435,CreateUserpool,0,0,0,0,0,0
2154.435,CreateUser,0,0,0,0,0,0
2154.435,CreateSamlApplication,0,0,0,0,0,0
2154.435,CreateOAuthApplication,0,0,0,0,0,0
2154.435,AddDomain,0,0,0,0,0,0
1467.799,ValidateDomain,0,0,0,0,0,0
1467.799,UpdateUserpoolAccessBindings,0,0,0,0,0,0
1467.799,UpdateUserpool,0,0,0,0,0,0
1467.799,UpdateUser,0,0,0,0,0,0
1467.799,UpdateSamlApplicationAssignments,0,0,0,0,0,0
1467.799,UpdateSamlApplication,0,0,0,0,0,0
1467.799,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
1467.799,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
1467.799,UpdateOAuthApplication,0,0,0,0,0,0
